見出し,見出し（説明）,分類,分類（説明）,日時,場所,対象,定員,費用,申込,問い合わせ,申込・問い合わせ,案内配布,受験資格,願書配布,URL1,URL2,Eメール1,Eメール2
疾患別患者・家族交流会,,,,(1)潰瘍性大腸炎 6月24日（土）(2)特発性血小板減少性紫斑病 7月12日（水）(3)クローン病 7月22日（土）いずれも13:30?15:30,県難病・子ども保健相談支援センター（和歌山市）,患者、家族,各10人程度（先着順）,,,,電話、FAXで交流会名、氏名、電話番号、参加人数を開催前日（手話通訳希望者は開催日の15日前）までに会場 電話073-445-0520　ファックス073-445-0603,,,,http://www.pref.wakayama.lg.jp/prefg/041200/050300/kodomo/,,,
筋萎縮性側索硬化症・患者家族交流会,,,,7月8日（土）13:30?15:30,和歌山ビッグ愛（和歌山市）,患者・家族・保健・医療・福祉関係者など,50人（先着順）,,,,電話、FAXで氏名、電話番号、参加人数を6月23日までに県難病・子ども保健相談支援センター電話073-445-0520　ファックス073-445-0603※手話通訳・要約筆記は要予約 ,,,,,,,
遊びのサポーター養成講座,病気や障害のある子供とより楽しく接するための講義と実技,,,7月8日（土）10:00?16:30,和歌山市中央コミュニティセンター,18歳以上,50人（先着順）,,,,郵送、電話、FAXで住所、氏名、電話番号を7月6日（手話通訳・要約筆記は6月22日）までに県難病・子ども保健相談支援センター 〒641-8510和歌山市紀三井寺811-1県立医大病院3階電話073-445-0520　ファックス073-445-0603,,,,http://www.pref.wakayama.lg.jp/prefg/041200/050300/kodomo/,,,
身体障害者補助犬（盲導犬・介助犬・聴導犬）給付希望者,,,,,,視覚障害1級、肢体障害1級または聴覚障害2級以上の身体障害者手帳を所持し、所定の要件(補助犬の管理が可能など)をすべて満たす方,1人（選考）,,郵送で所定の申込書（申込先、問合先で配布）を7月7日までに市町村,県庁障害福祉課,,,,,http://www.pref.wakayama.lg.jp/prefg/040400/hojoken/untitled.html,,,
看護系学校養成所進路相談会,,,,(1)6月11日（日）(2)6月18日（日）,(1)県民文化会館（和歌山市）(2)田辺市民総合センター ,看護に関心のある高校生など,,,,県庁医務課,,,,,,,,
看護学校オープンキャンパス,,,,7月25日（火）9:30?12:15 ,県立なぎ看護学校（新宮市）,高校生以上,90人（先着順）,,,,FAX、Eメールで住所、氏名、電話番号、学生（学校名、学年）・社会人の別を6月26日までに会場（県内の学生は学校から申込）電話0735-31-8797　ファックス0735-31-6773,,,,http://www.pref.wakayama.lg.jp/prefg/050114/nagi/,,e0501141@pref.wakayama.lg.jp,
みんな、たいせつ「人権感覚を育てよう」プログラム講師養成セミナー,,,,(1)6月29日（木）10:00?16:00(2)6月30日（金）10:00?16:00,(1)御坊保健所(2)和歌山ビッグ愛（和歌山市）,,各30人（先着順）,,,,電話、FAX、Eメールで住所、氏名、電話番号（幼稚園・保育所などから申込の方は勤務先名、一時保育希望者は15日までに）を県人権啓発センター電話073-435-5420　ファックス073-435-5421,,,,http://w-jinken.jp/,,minnataisetsu@w-jinken.jp,
発達障害に関する講演会,講師：田中哲氏(都立小児総合医療センター副院長) ,,,7月16日（日）13:00?16:30,海南保健福祉センター(海南市),,400人（先着順）,500円（資料代）,,,FAX、Eメール、インターネットで所定の申込書(申込先、WEBサイトで配布)を県発達障害者支援センターポラリス電話073-413-3200　ファックス073-413-3020,,,,http://aitoku.or.jp/wordpress/polaris/,,polaris@jtw.zaq.ne.jp,
身体障害者パソコンボランティア,外出困難な在宅の身体障害者に、自宅などでパソコン操作を支援するボランティアを養成・派遣,ボランティア養成講座,,6月17日（土）・18日（日）いずれも9:30?15:30 ,和歌山ビッグ愛（和歌山市）,,5人（先着順）,,,,郵送、電話、FAX、Eメールで住所、氏名、年齢、性別、電話（FAX）番号を(1)6月13日までに県立点字図書館 〒640-8319和歌山市手平2-1-2和歌山ビッグ愛5階電話073-488-5721　ファックス073-488-5731,,,,,,wakaten@msj.biglobe.ne.jp,
身体障害者パソコンボランティア,外出困難な在宅の身体障害者に、自宅などでパソコン操作を支援するボランティアを養成・派遣,ボランティア派遣,,随時,体障害者の自宅など,外出困難な在宅の重度身体障害者,,,,,郵送、電話、FAX、Eメールで住所、氏名、年齢、性別、電話（FAX）番号を(1)6月13日までに県立点字図書館 〒640-8319和歌山市手平2-1-2和歌山ビッグ愛5階電話073-488-5721　ファックス073-488-5731,,,,,,wakaten@msj.biglobe.ne.jp,
